"sample_index","timestamp_utc","elapsed_seconds","pid","parent_pid","process_name","instance_key","event","cpu_total_seconds","working_set_bytes","private_bytes","error"
"1","2026-09-12T05:20:17.4984587Z","1.807417","94956","85692","conhost.exe","94956:639247872168408190","SampleFailed",,,,"Cannot find a process with the process identifier 94956."
"1","2026-09-12T05:20:17.5045962Z","1.812199","85692","14372","UnrealTraceServer.exe","85692:639247872168223100","SampleFailed",,,,"Cannot find a process with the process identifier 85692."
"1","2026-09-12T05:20:17.5399219Z","1.847541","14372","65944","UnrealEditor","14372:639247872156630390","New","1.468750","397746176","405946368",""
"2","2026-09-12T05:20:19.2215491Z","3.529187","94956","85692","conhost.exe","94956:639247872168408190","Exited",,,,""
"2","2026-09-12T05:20:19.2218321Z","3.529450","85692","14372","UnrealTraceServer.exe","85692:639247872168223100","Exited",,,,""
"2","2026-09-12T05:20:19.2479286Z","3.555561","14372","65944","UnrealEditor","14372:639247872156630390","Sample","2.156250","767262720","809627648",""
"3","2026-09-12T05:20:20.8913567Z","5.199024","14372","65944","UnrealEditor","14372:639247872156630390","Sample","3.250000","913592320","1198878720",""
"4","2026-09-12T05:20:22.3959656Z","6.703629","46004","14372","zenserver.exe","46004:639247872218402360","New","0.156250","22781952","17477632",""
"4","2026-09-12T05:20:22.4161708Z","6.723831","14372","65944","UnrealEditor","14372:639247872156630390","Sample","3.703125","980164608","1271775232",""
"5","2026-09-12T05:20:23.8125610Z","8.120237","102480","46004","crashpad_handler.exe","102480:639247872220006830","New","0.031250","9854976","1642496",""
"5","2026-09-12T05:20:23.8358392Z","8.143513","46004","14372","zenserver.exe","46004:639247872218402360","Sample","0.156250","22773760","17465344",""
"5","2026-09-12T05:20:23.8581650Z","8.165842","14372","65944","UnrealEditor","14372:639247872156630390","Sample","3.703125","980164608","1259032576",""
"6","2026-09-12T05:20:25.4116095Z","9.719301","102480","46004","crashpad_handler.exe","102480:639247872220006830","Sample","0.031250","9854976","1642496",""
"6","2026-09-12T05:20:25.4346118Z","9.742303","46004","14372","zenserver.exe","46004:639247872218402360","Sample","0.656250","52252672","210341888",""
"6","2026-09-12T05:20:25.4575101Z","9.765205","14372","65944","UnrealEditor","14372:639247872156630390","Sample","8.828125","1214164992","1579098112",""
"7","2026-09-12T05:20:27.0884459Z","11.396155","102480","46004","crashpad_handler.exe","102480:639247872220006830","Sample","0.031250","9854976","1642496",""
"7","2026-09-12T05:20:27.1123250Z","11.420044","46004","14372","zenserver.exe","46004:639247872218402360","Sample","0.687500","54796288","222117888",""
"7","2026-09-12T05:20:27.1367369Z","11.444449","14372","65944","UnrealEditor","14372:639247872156630390","Sample","10.843750","1498103808","1874759680",""
"8","2026-09-12T05:20:28.6694278Z","12.977162","102480","46004","crashpad_handler.exe","102480:639247872220006830","Sample","0.031250","9854976","1642496",""
"8","2026-09-12T05:20:28.6915712Z","12.999296","46004","14372","zenserver.exe","46004:639247872218402360","Sample","0.687500","54800384","222117888",""
"8","2026-09-12T05:20:28.7150904Z","13.022814","14372","65944","UnrealEditor","14372:639247872156630390","Sample","11.484375","1698172928","1995022336",""
"9","2026-09-12T05:20:30.2810901Z","14.588830","102480","46004","crashpad_handler.exe","102480:639247872220006830","Sample","0.031250","9854976","1642496",""
"9","2026-09-12T05:20:30.3034066Z","14.611148","46004","14372","zenserver.exe","46004:639247872218402360","Sample","0.703125","54816768","222121984",""
"9","2026-09-12T05:20:30.3255534Z","14.633298","14372","65944","UnrealEditor","14372:639247872156630390","Sample","13.093750","1931735040","2185199616",""
"10","2026-09-12T05:20:31.9538854Z","16.261644","102480","46004","crashpad_handler.exe","102480:639247872220006830","Sample","0.031250","9854976","1642496",""
"10","2026-09-12T05:20:31.9761145Z","16.283875","46004","14372","zenserver.exe","46004:639247872218402360","Sample","0.703125","54829056","222117888",""
"10","2026-09-12T05:20:32.0001515Z","16.307911","14372","65944","UnrealEditor","14372:639247872156630390","Sample","18.468750","2444488704","2841718784",""
"11","2026-09-12T05:20:33.5915423Z","17.899396","102480","46004","crashpad_handler.exe","102480:639247872220006830","Sample","0.031250","9854976","1642496",""
"11","2026-09-12T05:20:33.6155592Z","17.923334","46004","14372","zenserver.exe","46004:639247872218402360","Sample","0.703125","54833152","222117888",""
"11","2026-09-12T05:20:33.6422560Z","17.950034","14372","65944","UnrealEditor","14372:639247872156630390","Sample","20.734375","2832388096","3470823424",""
"12","2026-09-12T05:20:35.3175854Z","19.625376","102480","46004","crashpad_handler.exe","102480:639247872220006830","Sample","0.031250","9854976","1642496",""
"12","2026-09-12T05:20:35.3380271Z","19.645818","46004","14372","zenserver.exe","46004:639247872218402360","Sample","0.703125","55386112","222904320",""
"12","2026-09-12T05:20:35.3624029Z","19.670194","14372","65944","UnrealEditor","14372:639247872156630390","Sample","24.218750","3250229248","3831164928",""
"13","2026-09-12T05:20:36.9791714Z","21.287009","102480","46004","crashpad_handler.exe","102480:639247872220006830","Sample","0.031250","9854976","1642496",""
"13","2026-09-12T05:20:37.0046712Z","21.312480","46004","14372","zenserver.exe","46004:639247872218402360","Sample","0.703125","55431168","223186944",""
"13","2026-09-12T05:20:37.0270077Z","21.334816","14372","65944","UnrealEditor","14372:639247872156630390","Sample","26.703125","3253215232","3831889920",""
"14","2026-09-12T05:20:38.6411685Z","22.948992","102480","46004","crashpad_handler.exe","102480:639247872220006830","Sample","0.031250","9854976","1642496",""
"14","2026-09-12T05:20:38.6638941Z","22.971721","46004","14372","zenserver.exe","46004:639247872218402360","Sample","0.718750","55435264","223248384",""
"14","2026-09-12T05:20:38.6875518Z","22.995376","14372","65944","UnrealEditor","14372:639247872156630390","Sample","29.546875","3256619008","3738103808",""
"15","2026-09-12T05:20:40.2549108Z","24.562750","102480","46004","crashpad_handler.exe","102480:639247872220006830","Sample","0.031250","9854976","1642496",""
"15","2026-09-12T05:20:40.2786326Z","24.586473","46004","14372","zenserver.exe","46004:639247872218402360","Sample","0.718750","55463936","223248384",""
"15","2026-09-12T05:20:40.3031191Z","24.610960","14372","65944","UnrealEditor","14372:639247872156630390","Sample","32.109375","3259920384","3739287552",""
"16","2026-09-12T05:20:41.8951152Z","26.202973","102480","46004","crashpad_handler.exe","102480:639247872220006830","Sample","0.031250","9854976","1642496",""
"16","2026-09-12T05:20:41.9185623Z","26.226436","46004","14372","zenserver.exe","46004:639247872218402360","Sample","0.718750","55496704","223252480",""
"16","2026-09-12T05:20:41.9427987Z","26.250658","14372","65944","UnrealEditor","14372:639247872156630390","Sample","34.562500","3262365696","3739287552",""
"17","2026-09-12T05:20:43.5172570Z","27.825131","102480","46004","crashpad_handler.exe","102480:639247872220006830","Sample","0.031250","9854976","1642496",""
"17","2026-09-12T05:20:43.5396587Z","27.847533","46004","14372","zenserver.exe","46004:639247872218402360","Sample","0.734375","55504896","223383552",""
"17","2026-09-12T05:20:43.5632789Z","27.871154","14372","65944","UnrealEditor","14372:639247872156630390","Sample","37.031250","3264749568","3739287552",""
"18","2026-09-12T05:20:45.1371833Z","29.445075","102480","46004","crashpad_handler.exe","102480:639247872220006830","Sample","0.031250","9854976","1642496",""
"18","2026-09-12T05:20:45.1597717Z","29.467662","46004","14372","zenserver.exe","46004:639247872218402360","Sample","0.750000","55500800","223379456",""
"18","2026-09-12T05:20:45.1854150Z","29.493307","14372","65944","UnrealEditor","14372:639247872156630390","Sample","38.312500","3279699968","3766734848",""
"19","2026-09-12T05:20:46.9328296Z","31.240740","102480","46004","crashpad_handler.exe","102480:639247872220006830","Sample","0.031250","9854976","1642496",""
"19","2026-09-12T05:20:46.9555176Z","31.263432","102484","14372","EpicWebHelper.exe","102484:639247872454443300","New","0.250000","87404544","93790208",""
"19","2026-09-12T05:20:46.9796149Z","31.287526","14372","65944","UnrealEditor","14372:639247872156630390","Sample","41.265625","3384197120","3805679616",""
"19","2026-09-12T05:20:47.0023673Z","31.310277","90976","14372","EpicWebHelper.exe","90976:639247872455514780","New","0.125000","62205952","28569600",""
"19","2026-09-12T05:20:47.0233015Z","31.331212","51796","14372","EpicWebHelper.exe","51796:639247872455315220","New","0.062500","38944768","24436736",""
"19","2026-09-12T05:20:47.0472211Z","31.355135","117716","14372","EpicWebHelper.exe","117716:639247872454980310","New","0.046875","28708864","19472384",""
"19","2026-09-12T05:20:47.0701368Z","31.378052","46004","14372","zenserver.exe","46004:639247872218402360","Sample","0.765625","55500800","223379456",""
"19","2026-09-12T05:20:47.0940764Z","31.401989","120408","14372","EpicWebHelper.exe","120408:639247872454799320","New","0.156250","41238528","21815296",""
"20","2026-09-12T05:20:48.7104847Z","33.018413","102480","46004","crashpad_handler.exe","102480:639247872220006830","Sample","0.031250","9854976","1642496",""
"20","2026-09-12T05:20:48.7354615Z","33.043413","102484","14372","EpicWebHelper.exe","102484:639247872454443300","Sample","0.250000","88662016","94875648",""
"20","2026-09-12T05:20:48.7604121Z","33.068339","14372","65944","UnrealEditor","14372:639247872156630390","Sample","44.328125","3393458176","3808825344",""
"20","2026-09-12T05:20:48.7849647Z","33.092898","90976","14372","EpicWebHelper.exe","90976:639247872455514780","Sample","0.187500","64438272","30011392",""
"20","2026-09-12T05:20:48.8085105Z","33.116440","51796","14372","EpicWebHelper.exe","51796:639247872455315220","Sample","0.062500","38944768","24436736",""
"20","2026-09-12T05:20:48.8324887Z","33.140417","117716","14372","EpicWebHelper.exe","117716:639247872454980310","Sample","0.046875","28708864","19472384",""
"20","2026-09-12T05:20:48.8575714Z","33.165500","46004","14372","zenserver.exe","46004:639247872218402360","Sample","0.796875","55537664","223444992",""
"20","2026-09-12T05:20:48.8809548Z","33.188884","120408","14372","EpicWebHelper.exe","120408:639247872454799320","Sample","0.156250","41279488","21831680",""
"21","2026-09-12T05:20:50.4788909Z","34.786836","102480","46004","crashpad_handler.exe","102480:639247872220006830","Sample","0.031250","9854976","1642496",""
"21","2026-09-12T05:20:50.5014611Z","34.809408","102484","14372","EpicWebHelper.exe","102484:639247872454443300","Sample","0.250000","90009600","96215040",""
"21","2026-09-12T05:20:50.5251224Z","34.833068","14372","65944","UnrealEditor","14372:639247872156630390","Sample","47.343750","3396153344","3808845824",""
"21","2026-09-12T05:20:50.5484341Z","34.856380","90976","14372","EpicWebHelper.exe","90976:639247872455514780","Sample","0.265625","67264512","33341440",""
"21","2026-09-12T05:20:50.5707144Z","34.878677","51796","14372","EpicWebHelper.exe","51796:639247872455315220","Sample","0.062500","38944768","24436736",""
"21","2026-09-12T05:20:50.5940839Z","34.902030","117716","14372","EpicWebHelper.exe","117716:639247872454980310","Sample","0.046875","28708864","19472384",""
"21","2026-09-12T05:20:50.6178171Z","34.925764","46004","14372","zenserver.exe","46004:639247872218402360","Sample","0.796875","55537664","223444992",""
"21","2026-09-12T05:20:50.6409852Z","34.948937","120408","14372","EpicWebHelper.exe","120408:639247872454799320","Sample","0.156250","41361408","21848064",""
"22","2026-09-12T05:20:52.2530927Z","36.561056","102480","46004","crashpad_handler.exe","102480:639247872220006830","Sample","0.031250","9797632","1544192",""
"22","2026-09-12T05:20:52.2761380Z","36.584102","102484","14372","EpicWebHelper.exe","102484:639247872454443300","Sample","0.265625","90181632","96399360",""
"22","2026-09-12T05:20:52.2999792Z","36.607942","14372","65944","UnrealEditor","14372:639247872156630390","Sample","49.921875","3398479872","3808571392",""
"22","2026-09-12T05:20:52.3230390Z","36.631003","90976","14372","EpicWebHelper.exe","90976:639247872455514780","Sample","0.343750","68907008","35119104",""
"22","2026-09-12T05:20:52.3460598Z","36.654025","51796","14372","EpicWebHelper.exe","51796:639247872455315220","Sample","0.062500","38957056","24436736",""
"22","2026-09-12T05:20:52.3689557Z","36.676920","117716","14372","EpicWebHelper.exe","117716:639247872454980310","Sample","0.046875","28708864","19472384",""
"22","2026-09-12T05:20:52.3930983Z","36.701063","46004","14372","zenserver.exe","46004:639247872218402360","Sample","0.796875","55476224","223350784",""
"22","2026-09-12T05:20:52.4160269Z","36.723992","120408","14372","EpicWebHelper.exe","120408:639247872454799320","Sample","0.156250","41373696","21852160",""
"23","2026-09-12T05:20:53.9858966Z","38.293877","102480","46004","crashpad_handler.exe","102480:639247872220006830","Sample","0.031250","9797632","1544192",""
"23","2026-09-12T05:20:54.0085021Z","38.316485","102484","14372","EpicWebHelper.exe","102484:639247872454443300","Sample","0.265625","90611712","96825344",""
